age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
low,State-gov,low,Bachelors,high,Never-married,Adm-clerical,Not-in-family,White,Male,low,low,low,United-States,<=50K,
low,Self-emp-not-inc,low,Bachelors,high,Married-civ-spouse,Exec-managerial,Husband,White,Male,low,low,low,United-States,<=50K,
low,Private,low,HS-grad,high,Divorced,Handlers-cleaners,Not-in-family,White,Male,low,low,low,United-States,<=50K,
low,Private,low,11th,low,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,low,low,low,United-States,<=50K,
low,Private,low,Bachelors,high,Married-civ-spouse,Prof-specialty,Wife,Black,Female,low,low,low,Cuba,<=50K,
low,Private,low,Masters,high,Married-civ-spouse,Exec-managerial,Wife,White,Female,low,low,low,United-States,<=50K,
low,Private,low,9th,low,Married-spouse-absent,Other-service,Not-in-family,Black,Female,low,low,low,Jamaica,<=50K,
low,Self-emp-not-inc,low,HS-grad,high,Married-civ-spouse,Exec-managerial,Husband,White,Male,low,low,low,United-States,>50K,
low,Private,low,Masters,high,Never-married,Prof-specialty,Not-in-family,White,Female,low,low,high,United-States,>50K,
low,Private,low,Bachelors,high,Married-civ-spouse,Exec-managerial,Husband,White,Male,low,low,low,United-States,>50K,
low,Private,low,Some-college,high,Married-civ-spouse,Exec-managerial,Husband,Black,Male,low,low,high,United-States,>50K,
low,State-gov,low,Bachelors,high,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,low,low,low,India,>50K,
low,Private,low,Bachelors,high,Never-married,Adm-clerical,Own-child,White,Female,low,low,low,United-States,<=50K,
low,Private,low,Assoc-acdm,high,Never-married,Sales,Not-in-family,Black,Male,low,low,high,United-States,<=50K,
low,Private,low,7th-8th,low,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,low,low,low,Mexico,<=50K,
low,Self-emp-not-inc,low,HS-grad,high,Never-married,Farming-fishing,Own-child,White,Male,low,low,low,United-States,<=50K,
low,Private,low,HS-grad,high,Never-married,Machine-op-inspct,Unmarried,White,Male,low,low,low,United-States,<=50K,
low,Private,low,11th,low,Married-civ-spouse,Sales,Husband,White,Male,low,low,high,United-States,<=50K,
low,Self-emp-not-inc,low,Masters,high,Divorced,Exec-managerial,Unmarried,White,Female,low,low,low,United-States,>50K,
low,Private,low,Doctorate,high,Married-civ-spouse,Prof-specialty,Husband,White,Male,low,low,high,United-States,>50K,
low,Private,low,HS-grad,high,Separated,Other-service,Unmarried,Black,Female,low,low,low,United-States,<=50K,
low,Federal-gov,low,9th,low,Married-civ-spouse,Farming-fishing,Husband,Black,Male,low,low,low,United-States,<=50K,
low,Private,low,11th,low,Married-civ-spouse,Transport-moving,Husband,White,Male,low,low,low,United-States,<=50K,
high,Private,low,HS-grad,high,Divorced,Tech-support,Unmarried,White,Female,low,low,low,United-States,<=50K,
high,Local-gov,low,Bachelors,high,Married-civ-spouse,Tech-support,Husband,White,Male,low,low,low,United-States,>50K,
low,Private,low,HS-grad,high,Never-married,Craft-repair,Own-child,White,Male,low,low,low,United-States,<=50K,
low,Private,low,HS-grad,high,Divorced,Exec-managerial,Not-in-family,White,Male,low,low,high,United-States,<=50K,
low,Private,low,HS-grad,high,Married-civ-spouse,Craft-repair,Husband,White,Male,low,low,low,United-States,<=50K,
low,Local-gov,low,Assoc-acdm,high,Never-married,Protective-serv,Not-in-family,White,Male,low,low,high,United-States,<=50K,
low,Private,low,Some-college,high,Never-married,Sales,Own-child,Black,Male,low,low,low,United-States,<=50K,
low,Private,low,Bachelors,high,Divorced,Exec-managerial,Own-child,White,Male,low,low,low,United-States,<=50K,
low,Federal-gov,low,Some-college,high,Married-civ-spouse,Adm-clerical,Own-child,White,Male,low,low,low,United-States,<=50K,
low,State-gov,low,Some-college,high,Married-civ-spouse,Other-service,Husband,Black,Male,low,low,low,United-States,<=50K,
low,Private,low,11th,low,Never-married,Machine-op-inspct,Unmarried,White,Male,low,low,low,Puerto-Rico,<=50K,
low,Private,low,Some-college,high,Never-married,Machine-op-inspct,Own-child,White,Male,low,low,low,United-States,<=50K,
low,Private,low,HS-grad,high,Married-AF-spouse,Adm-clerical,Wife,White,Female,low,low,low,United-States,<=50K,
low,Self-emp-not-inc,low,Assoc-acdm,high,Married-civ-spouse,Prof-specialty,Husband,White,Male,low,low,low,United-States,<=50K,
low,Private,low,9th,low,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low,low,low,United-States,<=50K,
low,Self-emp-not-inc,low,Bachelors,high,Married-civ-spouse,Prof-specialty,Husband,White,Male,low,low,low,United-States,<=50K,
low,Private,low,Bachelors,high,Married-civ-spouse,Tech-support,Husband,White,Male,low,low,high,United-States,<=50K,
low,Private,low,HS-grad,high,Separated,Adm-clerical,Unmarried,White,Female,low,low,low,United-States,<=50K,
low,Private,low,HS-grad,high,Never-married,Handlers-cleaners,Not-in-family,White,Male,low,low,low,United-States,<=50K,
high,Federal-gov,low,Bachelors,high,Married-civ-spouse,Prof-specialty,Husband,Black,Male,low,low,low,United-States,>50K,
low,Private,low,HS-grad,high,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low,low,low,United-States,<=50K,
low,Private,low,Masters,high,Divorced,Exec-managerial,Unmarried,White,Female,low,low,low,United-States,<=50K,
low,State-gov,low,Assoc-voc,high,Married-civ-spouse,Craft-repair,Husband,White,Male,low,low,low,United-States,<=50K,
low,Private,low,Assoc-voc,high,Never-married,Prof-specialty,Not-in-family,White,Male,low,low,low,United-States,<=50K,
low,Private,low,Some-college,high,Married-civ-spouse,Exec-managerial,Wife,Other,Female,low,low,low,United-States,<=50K,
low,Private,low,Prof-school,high,Married-civ-spouse,Prof-specialty,Wife,White,Female,low,low,high,Honduras,>50K,
low,Federal-gov,low,Bachelors,high,Divorced,Exec-managerial,Not-in-family,White,Male,low,low,high,United-States,>50K,
low,Self-emp-inc,low,HS-grad,high,Divorced,Exec-managerial,Not-in-family,White,Male,low,low,high,United-States,<=50K,
low,Private,low,Some-college,high,Married-civ-spouse,Tech-support,Husband,White,Male,low,low,low,United-States,>50K,
low,Private,low,5th-6th,low,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low,low,low,Mexico,<=50K,
low,Private,low,Assoc-voc,high,Married-civ-spouse,Other-service,Husband,White,Male,low,low,low,Puerto-Rico,<=50K,
low,Private,low,HS-grad,high,Married-civ-spouse,Adm-clerical,Husband,White,Male,low,low,low,United-States,<=50K,
