age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
low,State-gov,low,Bachelors,high,Never-married,Adm-clerical,Not-in-family,White,Male,low,0,40,United-States,<=50K,
low,Self-emp-not-inc,low,Bachelors,high,Married-civ-spouse,Exec-managerial,Husband,White,Male,low,0,13,United-States,<=50K,
low,Private,low,HS-grad,high,Divorced,Handlers-cleaners,Not-in-family,White,Male,low,0,40,United-States,<=50K,
low,Private,low,11th,low,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,low,0,40,United-States,<=50K,
low,Private,low,Bachelors,high,Married-civ-spouse,Prof-specialty,Wife,Black,Female,low,0,40,Cuba,<=50K,
low,Private,low,Masters,high,Married-civ-spouse,Exec-managerial,Wife,White,Female,low,0,40,United-States,<=50K,
low,Private,low,9th,low,Married-spouse-absent,Other-service,Not-in-family,Black,Female,low,0,16,Jamaica,<=50K,
low,Self-emp-not-inc,low,HS-grad,high,Married-civ-spouse,Exec-managerial,Husband,White,Male,low,0,45,United-States,>50K,
low,Private,low,Masters,high,Never-married,Prof-specialty,Not-in-family,White,Female,low,0,50,United-States,>50K,
low,Private,low,Bachelors,high,Married-civ-spouse,Exec-managerial,Husband,White,Male,low,0,40,United-States,>50K,
low,Private,low,Some-college,high,Married-civ-spouse,Exec-managerial,Husband,Black,Male,low,0,80,United-States,>50K,
low,State-gov,low,Bachelors,high,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,low,0,40,India,>50K,
low,Private,low,Bachelors,high,Never-married,Adm-clerical,Own-child,White,Female,low,0,30,United-States,<=50K,
low,Private,low,Assoc-acdm,high,Never-married,Sales,Not-in-family,Black,Male,low,0,50,United-States,<=50K,
low,Private,low,7th-8th,low,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,low,0,45,Mexico,<=50K,
low,Self-emp-not-inc,low,HS-grad,high,Never-married,Farming-fishing,Own-child,White,Male,low,0,35,United-States,<=50K,
low,Private,low,HS-grad,high,Never-married,Machine-op-inspct,Unmarried,White,Male,low,0,40,United-States,<=50K,
low,Private,low,11th,low,Married-civ-spouse,Sales,Husband,White,Male,low,0,50,United-States,<=50K,
low,Self-emp-not-inc,low,Masters,high,Divorced,Exec-managerial,Unmarried,White,Female,low,0,45,United-States,>50K,
low,Private,low,Doctorate,high,Married-civ-spouse,Prof-specialty,Husband,White,Male,low,0,60,United-States,>50K,
low,Private,low,HS-grad,high,Separated,Other-service,Unmarried,Black,Female,low,0,20,United-States,<=50K,
low,Federal-gov,low,9th,low,Married-civ-spouse,Farming-fishing,Husband,Black,Male,low,0,40,United-States,<=50K,
